ID,Source,Title,Photo_url,Price,Link_to_page,Bigger_photo_url,Description
1,http://slaugosiranga.lt/produkto-kategorija/vonia-ir-tualetas/,Dušo kėdė,http://slaugosiranga.lt/wp-content/uploads/2015/09/20150505_150244-e1452559633734-300x300.jpg,€25.00,http://slaugosiranga.lt/produktas/duso-kede/,http://slaugosiranga.lt/wp-content/uploads/2015/09/20150505_150244-e1452559633734-600x600.jpg,"
Aprašymas
Parduodama naudota labai patodi dušo kėdė.
Dušo kėdė lengva ir tvirta, lengvai prižiūrima.
Kėdės aukštis reguliuojamas.
Maksimalus atlaikomas svoris 156 kg.
Kėdę taip pat galima naudoti kaip ir kėdę sedėti prie stalo, kadangi jos aukšti galima priderinti 100 procentų prie stalo aukščio.
Jei turite kokiu klausimu, prašau kreiptis telefonu +370 670 70 331
"
2,http://slaugosiranga.lt/produkto-kategorija/vonia-ir-tualetas/,Kampinis ranktūris,http://slaugosiranga.lt/wp-content/uploads/2016/05/L_raides_rankturis2-e1463693661632-300x300.jpg,€15.00,http://slaugosiranga.lt/produktas/kampinis-rankturis/,http://slaugosiranga.lt/wp-content/uploads/2016/05/L_raides_rankturis2-e1463693661632-600x600.jpg,"
Aprašymas
Parduodamas naujas L raidės kampinis ranktūris.
Ranktūrio ilgis 60 cm abiem pusėm.
 
Pristatome į visus Lietuvos miestus.
Suteikiame garantiją.
Jei turite klausimų, prašau kreiptis telefonu: +370 670 70 331
"
3,http://slaugosiranga.lt/produkto-kategorija/vonia-ir-tualetas/,Keltuvas į vonią [NAUJAS],http://slaugosiranga.lt/wp-content/uploads/2016/05/keltuvas_i_vonia-300x300.jpg,€270.00,http://slaugosiranga.lt/produktas/mechanine-maudymosi-kede/,http://slaugosiranga.lt/wp-content/uploads/2016/05/keltuvas_i_vonia.jpg,"
Aprašymas
Parduodama naujas keltuvas į vonią, kuri galima naudoti tiek vonioje, tiek duše. Kėdės kojos prilimpa prie vonios dugno, tai duoda 100 procentinio stabilumo. Kėdės aukštis reguliuojami su pultu.
Keltuvo reguliuojamas nuo 8 cm iki 48 cm aukščio.
Suteikiame 6 mėnesių garantiją.
Jei turite kokiu klausimu, prašau kreiptis telefonu +370 670 70 331

"
4,http://slaugosiranga.lt/produkto-kategorija/vonia-ir-tualetas/,Klozeto paaukštinimas,http://slaugosiranga.lt/wp-content/uploads/2016/05/klozeto_paaukstinimas2-300x300.jpg,€30.00,http://slaugosiranga.lt/produktas/klozeto-paaukstinimas/,http://slaugosiranga.lt/wp-content/uploads/2016/05/klozeto_paaukstinimas2.jpg,"
Aprašymas
Klozeto paaukštinimas tvirtinasi prie tualeto šonų, tvritinimas universalus, todėl tikna daugialiui tualetų.
 
Turime dviejų aukščių: 11, 10 ir 6 cm.
"
5,http://slaugosiranga.lt/produkto-kategorija/vonia-ir-tualetas/,Maudymosi pagalvėlė [Naujovė],http://slaugosiranga.lt/wp-content/uploads/2016/04/mangar-bathing-cushion-bath-lift-4-812-p-300x245.jpg,€200.00,http://slaugosiranga.lt/produktas/naujove-maudymosi-pagalvele/,http://slaugosiranga.lt/wp-content/uploads/2016/04/mangar-bathing-cushion-bath-lift-4-812-p.jpg,"
Aprašymas
Pagalvė nuleidžia ir pakelia Jus iš vonios – visas valdymas vyksta vieno mygtuko paspaudimu. Maudymosi pagalvėlė yra idealus variantas, jei jūs turite sunkumų išlipant ar įlipant į vonią.
Pagalvėlė tinka tik tuo atveju, jei turite pakankamą viršutinės kūno dalies stabilumą. Pripučiama maudymosi pagalvėlė švelniai nuleidžia Jus į vonią ir kelia, kai tik reikia, ir viskas veikia vieno mygtuko paspaudimu.
 
Suteikiame 6 mėnesių garantiją.
Jei turite kokiu klausimu, prašau kreiptis telefonu +370 670 70 331
"
6,http://slaugosiranga.lt/produkto-kategorija/vonia-ir-tualetas/,Ranktūriai,http://slaugosiranga.lt/wp-content/uploads/2015/11/rankturiai_slaugosirangalt.jpeg,€10.00,http://slaugosiranga.lt/produktas/rankturiai/,http://slaugosiranga.lt/wp-content/uploads/2015/11/rankturiai_slaugosirangalt.jpeg,"
Aprašymas
Ranktūriai tvirtinami prie sienos. Yra naudojami, bet kurioje patalpos vietoje.
Ranktūriai pagaminti su išilginiais grioveliais, siekiant užtikrinti stipresnį sukibimą.
Parduodami be varžtų.
Turime įvairių dydžių:
30 centimetrų ilgio,
45 centimetrų ilgio,
49 centimetrų ilgio.
Jei turite kokiu klausimu, prašau kreiptis telefonu +370 670 70 331
"
7,http://slaugosiranga.lt/produkto-kategorija/vonia-ir-tualetas/,Tualeto atrama su atsisėdimu,http://slaugosiranga.lt/wp-content/uploads/2016/05/tualeto-atrama-300x300.jpg,€30.00,http://slaugosiranga.lt/produktas/tualeto-atrama-su-atsisedimu/,http://slaugosiranga.lt/wp-content/uploads/2016/05/tualeto-atrama.jpg,"
Aprašymas
Parduodama mažai naudota tualeto atrama su platmasiniu atsisėdimu.
Atramos aukštis reguliuojamas ir pritaikomas prie Jūsų turimo tualeto.
 
Suteikiame 6 mėnesių garantiją.
Pristatome į visus Lietuvos miestus.
Jei turite kokiu klausimu, prašau kreiptis telefonu +370 670 70 331
"
8,http://slaugosiranga.lt/produkto-kategorija/vonia-ir-tualetas/,Tualeto kėdė,http://slaugosiranga.lt/wp-content/uploads/2016/01/11074-300x300.jpg,€50.00,http://slaugosiranga.lt/produktas/tualeto-kede/,http://slaugosiranga.lt/wp-content/uploads/2016/01/11074.jpg,"
Aprašymas
Parduodama labai patodi naudota tualeto kėdė. Gali būti naudojama kaip ir paprasta kėdė.
Puodas išimamas per viršų arba per šoną. Kiekviena atramos dalis paminkštinta. Tualeto kėdė lengva ir tvirta, lengvai prižiūrima. Taip pat yra papildoma funkcija reguliuoti kėdės aukščiui. Galima papildomai pakelti 17 cm į aukštį.
Suteikiame 6 mėnesių garantiją.
Pristatome į visus Lietuvos miestus.
Jei turite klausimų, prašau kreiptis telefonu: +370 670 70 331
"
9,http://slaugosiranga.lt/produkto-kategorija/vonia-ir-tualetas/,Tualeto kėdė su ratukais,http://slaugosiranga.lt/wp-content/uploads/2015/11/IMG_0700-e1452559290424-300x300.jpg,€65.00,http://slaugosiranga.lt/produktas/tualeto-kede-su-ratukais/,http://slaugosiranga.lt/wp-content/uploads/2015/11/IMG_0700-e1452559290424-600x600.jpg,"
Aprašymas
Parduodama naudota prabangi, nesunki tualeto kėdė su ratukais.
Labai gerame stovyje. Yra švari ir puikios būklės. Labai stabili.
Lengvai valoma. Turi stabdžius ant kiekvieno ratuko.
Nusiėma porankiai ir nugaros atrama.
Uždedant sedynę ant viršau, gali būti naudojama kaip vežimėlis.
Suteikiame 6 mėnesių garantiją.
Pristatome į visus Lietuvos miestus.
Jei turite kokiu klausimu, prašau kreiptis telefonu +370 670 70 331
"
10,http://slaugosiranga.lt/produkto-kategorija/vonia-ir-tualetas/,Vonios suoliukas,http://slaugosiranga.lt/wp-content/uploads/2016/01/10000_AA1091A-300x300.jpg,€25.00,http://slaugosiranga.lt/produktas/vonios-suoliukas/,http://slaugosiranga.lt/wp-content/uploads/2016/01/10000_AA1091A.jpg,"
Aprašymas
Parduodamas naujas vonios suoliukas.
Suoliuko maksimalus atlaikomas svoris 150 kg.
Suoliuko ilgis 76 cm, plotis 22 cm.
 
Pristatome į visus Lietuvos miestus.
Suteikiame garantiją.
Jei turite klausimų, prašau kreiptis telefonu: +370 670 70 331
"
